id,err,cp
0,0.25,0
1,1.625,0
2,2.583,0
3,1.375,0
4,1.333,0
5,2.167,0
6,0,0
7,1.625,0
8,1.333,0
9,0.292,0
10,3.917,0
11,1.542,0
12,0.542,0
13,0.167,0
14,0.292,0
15,0.208,0
16,0.208,0
17,0.25,0
18,0.542,0
19,1.583,0
20,0.75,0
21,1.625,0
22,0.292,0
23,4.75,0
24,9.833,0
25,7.833,0
26,0.792,0
27,0.167,0
28,3.792,0
29,1.75,0
30,0.375,0
31,3.417,0
32,1.875,0
33,2.583,0
34,5.458,0
35,2.354,0
36,6.75,0
37,2.688,0
38,9.667,0
39,11.042,0
40,8.042,0
41,0.542,0
42,0.542,0
43,1.083,0
44,0.875,0
45,2.417,0
46,2.5,0
47,5,0
48,8.292,0
49,10,0
50,13.958,0
51,15.375,0
52,14.542,0
53,9.75,0
54,8.083,0
55,5.167,0
56,4.875,0
57,3.542,0
58,6.917,0
59,3.083,0
60,2.708,0
61,4.333,0
62,5.333,0
63,7,0
64,5.042,0
65,4.542,0
66,5.417,0
67,5.375,0
68,1.375,0
69,2.208,0
70,5.625,0
71,13.375,0
72,13.583,0
73,14.458,0
74,16.687,0
75,13.167,0
76,12.5,0
77,12,0
78,12.5,0
79,11.917,0
80,14.042,0
81,15.708,0
82,16.542,0
83,20.708,0
84,20.958,0
85,5.375,0
86,9.792,0
87,19.625,0
88,12.625,0
89,7.75,0
90,6.583,0
91,6.375,0
92,18.417,0
93,13.5,0
94,1.917,0
95,1.167,0
96,2.417,0
97,5,0
98,5.375,0
99,0.917,0
100,0.125,0
101,0.5,0
102,0.125,0
103,0.042,0
104,0.208,0
105,0.5,0
106,0.917,0
107,0.542,0
108,0.333,0
109,0.958,0
110,1.833,0
111,0.375,0
112,0.583,0
113,0.042,0
114,0.958,0
115,0.875,0
116,1.792,0
117,0.625,0
118,0.75,0
119,2.958,0
120,2.292,0
121,3.333,0
122,1.875,0
123,2.083,0
124,0.917,0
125,3.875,0
126,3.25,0
127,2.792,0
128,0.583,0
129,0.833,0
130,0.9,0
131,0.917,0
132,2.375,0
133,2.375,0
134,3.542,0
135,5.25,0
136,1.917,0
137,0.958,0
138,4.208,0
139,4.458,0
140,6.125,0
141,3.708,0
142,2.458,0
143,0.208,0
144,1.583,0
145,7.125,0
146,4.875,0
147,2,0
148,0.5,0
149,0.667,0
150,1.833,0
151,75.456,1
152,72.875,0
153,62.285,0
154,46.945,0
155,41.975,0
156,42.625,0
157,55.125,0
158,45.875,0
159,47.205,0
160,45.829,0
161,0.708,0
162,1.167,0
163,1.583,0
164,49.158,0
165,0.125,0
166,0.667,0
167,1.167,0
168,0.042,0
169,0.125,0
170,0.167,0
171,0.417,0
172,0.5,0
173,0.542,0
174,0.667,0
175,0.083,0
176,0.083,0
177,0.25,0
178,1.042,0
179,0.042,0
180,0.458,0
181,0.458,0
182,0.292,0
183,0.958,0
184,1,0
185,0.208,0
186,1,0
187,0.625,0
188,0.917,0
189,1.167,0
190,0.958,0
191,1.083,0
192,2.542,0
193,0.583,0
194,0.125,0
195,0.25,0
196,0.083,0
197,0.708,0
198,0.208,0
199,0.542,0
200,0.5,0
201,0.417,0
202,1.083,0
203,0.5,0
204,6.75,0
205,0.792,0
206,56.1,1
207,50.275,0
208,0.125,0
209,0.042,0
210,0.458,0
211,0.208,0
212,0.083,0
213,4.083,0
