id,err,cp
0,9.627,0
1,12.756,0
2,11.748,0
3,8.871,0
4,9.396,0
5,12.231,0
6,13.029,0
7,12.924,0
8,13.743,0
9,13.596,0
10,11.37,0
11,8.619,0
12,7.737,0
13,6.54,0
14,3.414,0
15,4.086,0
16,4.17,0
17,1.23,0
18,0.264,0
19,8.073,0
20,7.401,0
21,7.128,0
22,7.527,0
23,10.95,0
24,11.874,0
25,11.769,0
26,11.853,0
27,12.189,0
28,9.039,0
29,8.493,0
30,8.703,0
31,9.123,0
32,7.947,0
33,4.293,0
34,5.115,0
35,4.8,0
36,4.905,0
37,4.653,0
38,4.296,0
39,3.981,0
40,3.645,0
41,3.834,0
42,4.275,0
43,5.136,0
44,5.577,0
45,8.433,0
46,7.95,0
47,14.166,0
48,5.679,0
49,6.309,0
50,4.209,0
51,1.941,0
52,10.344,0
53,10.743,0
54,10.785,0
55,9.315,0
56,5.535,0
57,4.863,0
58,4.632,0
59,6.396,0
60,5.157,0
61,4.401,0
62,2.553,0
63,2.847,0
64,2.574,0
65,1.755,0
66,1.86,0
67,2.868,0
68,2.973,0
69,4.167,0
70,3.264,0
71,17.166,0
72,24.159,0
73,24.495,0
74,24.642,0
75,25.125,0
76,25.335,0
77,7.404,0
78,101.595,1
79,102.15,0
80,61.335,0
81,2.805,0
82,0.075,0
83,0.096,0
84,0.177,0
85,0.051,0
86,5.682,0
87,5.112,0
88,2.991,0
89,2.028,0
90,7.8,0
91,10.215,0
92,9.648,0
93,9.144,0
94,9.228,0
95,10.467,0
96,13.491,0
97,14.73,0
98,26.91,0
99,27.708,0
100,27.162,0
101,23.823,0
102,10.803,0
103,1.395,0
104,1.104,0
105,1.083,0
106,0.873,0
107,1.188,0
108,1.692,0
109,1.041,0
110,1.521,0
111,3.348,0
112,1.941,0
113,13.911,0
114,14.562,0
115,13.89,0
116,12.84,0
117,12.987,0
118,13.05,0
119,13.407,0
120,13.722,0
121,13.995,0
122,14.142,0
123,14.394,0
124,10.95,0
125,3.684,0
126,3.582,0
127,3.582,0
128,2.952,0
129,3.246,0
130,3.435,0
131,6.27,0
132,5.976,0
133,2.532,0
134,1.86,0
135,12.756,0
136,14.184,0
137,13.953,0
138,14.289,0
139,14.373,0
140,14.121,0
141,14.016,0
142,14.667,0
143,14.94,0
144,15.192,0
145,15.255,0
146,15.066,0
147,13.596,0
148,10.53,0
149,11.076,0
150,1.524,0
151,3.183,0
152,2.889,0
153,3.099,0
154,8.328,0
155,14.166,0
156,79.11,1
157,115.755,0
158,97.8,0
159,101.37,0
160,52.0725,0
161,9.63,0
162,5.703,0
163,5.997,0
164,4.611,0
165,5.178,0
166,4.905,0
167,4.401,0
168,4.716,0
169,4.695,0
170,7.023,0
171,9.312,0
172,8.535,0
173,7.338,0
174,0.807,0
175,5.472,0
176,5.283,0
177,5.136,0
178,5.682,0
179,5.136,0
180,4.863,0
181,5.493,0
182,4.884,0
183,4.716,0
184,4.905,0
185,5.283,0
186,5.367,0
187,4.737,0
188,4.17,0
189,4.191,0
190,4.401,0
191,3.036,0
192,9.522,0
193,14.31,0
194,13.722,0
195,13.491,0
196,11.265,0
197,84.69,1
198,130.245,0
199,129.6525,0
200,117.51,0
201,28.245,0
202,12.588,0
203,12.315,0
204,11.139,0
205,14.394,0
206,23.676,0
207,25.86,0
208,72.2625,1
209,147.75,0
210,145.38,0
211,113.4,0
212,18.426,0
213,26.847,0
214,25.965,0
215,24.999,0
216,24.915,0
217,18.258,0
218,1.815,0
219,1.293,0
220,47.79,1
221,115.9275,0
222,142.59,0
223,142.1625,0
224,142.4175,0
225,142.305,0
226,142.245,0
227,143.235,0
228,144.12,0
229,141.8025,0
230,140.6925,0
231,127.875,0
232,110.49,0
233,103.92,0
234,103.0725,0
235,92.5125,0
236,0.327,0
237,17.208,0
238,24.348,0
239,23.928,0
240,23.676,0
241,23.424,0
242,24.159,0
243,23.067,0
244,12.483,0
245,61.4775,1
246,130.8825,0
247,130.2,0
248,91.77,0
249,5.91,0
250,12.462,0
251,10.698,0
252,11.559,0
253,24.537,0
254,24.054,0
255,15.591,0
256,7.842,0
257,62.0775,1
258,110.8575,0
259,49.7925,0
260,5.01,0
261,3.561,0
262,9.27,0
263,13.113,0
264,12.714,0
265,11.895,0
266,17.313,0
267,24.957,0
268,21.996,0
269,74.025,1
270,138.8025,0
271,108.63,0
272,17.04,0
273,13.008,0
274,13.449,0
275,13.239,0
276,13.554,0
277,13.134,0
278,12.882,0
279,12.672,0
280,12.273,0
281,10.719,0
282,9.711,0
283,10.005,0
284,9.879,0
285,9.921,0
286,10.047,0
287,10.509,0
288,10.866,0
289,10.824,0
290,10.299,0
291,9.9,0
292,10.362,0
293,0.579,0
294,2.07,0
295,1.818,0
296,2.049,0
297,0.765,0
298,10.908,0
299,10.488,0
300,9.585,0
301,9.396,0
302,10.089,0
303,13.47,0
304,13.701,0
305,13.848,0
306,13.995,0
307,14.121,0
308,14.226,0
309,12.777,0
310,13.47,0
311,13.953,0
312,14.205,0
313,11.244,0
314,10.614,0
315,10.53,0
316,10.425,0
317,10.803,0
318,0.579,0
319,2.028,0
320,1.398,0
321,1.587,0
322,1.479,0
323,11.601,0
324,14.394,0
325,14.058,0
326,13.491,0
327,13.344,0
328,13.764,0
329,13.533,0
330,13.575,0
331,14.667,0
332,14.961,0
333,14.814,0
334,14.709,0
335,15.024,0
336,15.108,0
337,3.579,0
338,11.097,0
339,0.201,0
340,9.081,0
341,11.118,0
342,11.16,0
343,5.595,0
344,0.054,0
345,1.419,0
346,1.125,0
347,1.335,0
348,8.031,0
349,9.375,0
350,16.77,0
